Date:  12:25, Wednesday, June 10, 2015
Model name: Part1
Study name: Static 2(-Default-)
Plot type: Mesh Mesh Quality1
Result Type: Mesh


Node  ,Value  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,0.000e+000  ,10  ,50  ,0
2  ,0.000e+000  ,10  ,50  ,5
3  ,0.000e+000  ,10  ,50  ,10
4  ,0.000e+000  ,10  ,50  ,15
5  ,0.000e+000  ,10  ,50  ,20
6  ,0.000e+000  ,10  ,50  ,25
7  ,0.000e+000  ,10  ,50  ,30
8  ,0.000e+000  ,10  ,50  ,35
9  ,0.000e+000  ,10  ,50  ,40
10  ,0.000e+000  ,10  ,50  ,45
11  ,0.000e+000  ,10  ,50  ,50
12  ,0.000e+000  ,15  ,50  ,50
13  ,0.000e+000  ,20  ,50  ,50
14  ,0.000e+000  ,25  ,50  ,50
15  ,0.000e+000  ,30  ,50  ,50
16  ,0.000e+000  ,35  ,50  ,50
17  ,0.000e+000  ,40  ,50  ,50
18  ,0.000e+000  ,45  ,50  ,50
19  ,0.000e+000  ,50  ,50  ,50
20  ,0.000e+000  ,55  ,50  ,50
21  ,0.000e+000  ,60  ,50  ,50
22  ,0.000e+000  ,65  ,50  ,50
23  ,0.000e+000  ,70  ,50  ,50
24  ,0.000e+000  ,70  ,50  ,45
25  ,0.000e+000  ,70  ,50  ,40
26  ,0.000e+000  ,70  ,50  ,35
27  ,0.000e+000  ,70  ,50  ,30
28  ,0.000e+000  ,70  ,50  ,25
29  ,0.000e+000  ,70  ,50  ,20
30  ,0.000e+000  ,70  ,50  ,15
31  ,0.000e+000  ,70  ,50  ,10
32  ,0.000e+000  ,70  ,50  ,5
33  ,0.000e+000  ,70  ,50  ,0
34  ,0.000e+000  ,65  ,50  ,0
35  ,0.000e+000  ,60  ,50  ,0
36  ,0.000e+000  ,55  ,50  ,0
37  ,0.000e+000  ,50  ,50  ,0
38  ,0.000e+000  ,45  ,50  ,0
39  ,0.000e+000  ,40  ,50  ,0
40  ,0.000e+000  ,35  ,50  ,0
41  ,0.000e+000  ,30  ,50  ,0
42  ,0.000e+000  ,25  ,50  ,0
43  ,0.000e+000  ,20  ,50  ,0
44  ,0.000e+000  ,15  ,50  ,0
45  ,0.000e+000  ,40  ,50  ,5
46  ,0.000e+000  ,40  ,50  ,10
47  ,0.000e+000  ,40  ,50  ,15
48  ,0.000e+000  ,40  ,50  ,20
49  ,0.000e+000  ,40  ,50  ,25
50  ,0.000e+000  ,40  ,50  ,30
51  ,0.000e+000  ,40  ,50  ,35
52  ,0.000e+000  ,40  ,50  ,40
53  ,0.000e+000  ,40  ,50  ,45
54  ,0.000e+000  ,45  ,50  ,5
55  ,0.000e+000  ,45  ,50  ,10
56  ,0.000e+000  ,45  ,50  ,15
57  ,0.000e+000  ,45  ,50  ,20
58  ,0.000e+000  ,45  ,50  ,25
59  ,0.000e+000  ,45  ,50  ,30
60  ,0.000e+000  ,45  ,50  ,35
61  ,0.000e+000  ,45  ,50  ,40
