12:04, Wednesday, June 10, 2015
Study name: Static 2
Units :N/m^2
Selected reference : Front Plane
Node  ,SX  ,SY  ,SZ  ,TXY  ,TXZ  ,TYZ
1  ,-6.32213e+003  ,-3.83728e+003  ,-6.75403e+002  ,3.03556e+003  ,-3.49640e+002  ,5.06656e+002
2  ,-8.33433e+003  ,-4.86952e+003  ,-2.25592e+003  ,3.06385e+003  ,-1.80791e+002  ,2.97919e+002
3  ,-8.37111e+003  ,-4.94523e+003  ,-2.94188e+003  ,3.02581e+003  ,3.58369e+001  ,8.77124e+001
4  ,-8.73212e+003  ,-4.85686e+003  ,-3.26905e+003  ,2.84804e+003  ,9.76790e+001  ,7.06996e+000
5  ,-8.63743e+003  ,-4.56050e+003  ,-3.23389e+003  ,2.81789e+003  ,1.38727e+001  ,3.83632e+000
6  ,-8.76469e+003  ,-4.79891e+003  ,-3.44154e+003  ,3.02385e+003  ,-1.55363e+001  ,-1.37698e+000
7  ,-8.80244e+003  ,-5.07800e+003  ,-3.51864e+003  ,3.08523e+003  ,-1.14196e+001  ,1.06453e+001
8  ,-9.20514e+003  ,-4.49451e+003  ,-3.32831e+003  ,2.96315e+003  ,-3.97000e+001  ,6.56359e+000
9  ,-8.18734e+003  ,-4.63084e+003  ,-2.72587e+003  ,2.97495e+003  ,-2.60045e+001  ,-5.99192e+001
10  ,-8.54142e+003  ,-5.42268e+003  ,-2.47610e+003  ,3.17266e+003  ,2.29657e+002  ,-4.28761e+002
11  ,-8.42706e+003  ,-3.65782e+003  ,-1.15626e+003  ,3.09719e+003  ,3.85118e+002  ,-3.70139e+002
12  ,-6.30417e+003  ,9.21021e+001  ,6.59644e+001  ,3.60623e+002  ,-2.54680e+002  ,-3.25014e+001
13  ,-4.74323e+003  ,2.13838e+001  ,1.95792e+001  ,1.49904e+002  ,-1.67346e+002  ,-9.65585e+000
14  ,-3.41545e+003  ,1.83199e+001  ,1.52395e+000  ,1.94397e+002  ,-1.47756e+002  ,-6.51550e+000
15  ,-1.94298e+003  ,7.01968e+000  ,-4.40666e+000  ,2.05810e+002  ,-1.57532e+002  ,-7.91768e-001
16  ,-4.28243e+002  ,7.04216e+000  ,-1.51881e+001  ,2.17980e+002  ,-1.54424e+002  ,1.25476e+001
17  ,1.09977e+003  ,8.00239e+000  ,-1.84570e+001  ,1.88319e+002  ,-1.36878e+002  ,2.23155e+001
18  ,2.31360e+003  ,4.55120e+001  ,-1.39008e+001  ,1.47449e+002  ,-9.24861e+001  ,7.06093e+000
19  ,2.99605e+003  ,2.55842e+001  ,-4.85498e+000  ,2.47804e+001  ,-1.38551e+001  ,1.39607e+001
20  ,2.71264e+003  ,-1.01705e+001  ,-2.42540e+001  ,-1.29193e+002  ,8.89834e+001  ,3.00253e+001
21  ,1.58227e+003  ,-2.32859e+000  ,-3.05024e+001  ,-2.05618e+002  ,1.30776e+002  ,2.04069e+001
22  ,4.07897e+002  ,-1.06291e+001  ,-1.56586e+001  ,-1.20023e+002  ,7.84354e+001  ,1.46729e+001
23  ,-1.18062e+002  ,-2.37088e+001  ,2.79794e+001  ,1.28585e+002  ,-3.66031e+000  ,-1.36376e+001
24  ,-6.65957e+001  ,-1.03627e+002  ,-1.83861e+002  ,1.11340e+002  ,1.91335e+001  ,3.35789e+001
25  ,-8.66420e+001  ,-8.10523e+001  ,-4.56578e+002  ,1.00416e+002  ,4.81883e+000  ,8.75998e+000
26  ,-8.37597e+001  ,-8.06826e+001  ,-5.71160e+002  ,1.01153e+002  ,-2.73579e+000  ,3.31593e+000
27  ,-8.65636e+001  ,-8.57694e+001  ,-5.89876e+002  ,1.03677e+002  ,-2.48617e+000  ,1.26738e+000
28  ,-7.70467e+001  ,-8.61674e+001  ,-5.84470e+002  ,1.03724e+002  ,-1.18743e+000  ,-6.98295e-002
